title,descriptions,price,image
Hyundai Santa Fe,"внедорожник 5 дв., дизель",$ 37 000,https://im.mashina.kg/tachka/images//3/d/4/3d47662e756de698e65df053dff51162_240x180.jpg
Mercedes-Benz GLS-класс,"внедорожник 5 дв., бензин",$ 55 000,https://im.mashina.kg/tachka/images//e/9/8/e98bba2b26103d5ed6a3f5edbc61d07b_240x180.jpg
Toyota Highlander,"внедорожник 5 дв., бензин",$ 36 000,https://im.mashina.kg/tachka/images//1/1/c/11ca8f059c9b6fe4eb0386e9a42f5aab_240x180.jpg
Toyota RAV4,"внедорожник 5 дв., гибрид",$ 25 000,https://im.mashina.kg/tachka/images//c/2/1/c21f5ed6d10213d084d06b8576f81b4f_240x180.jpg
Lexus LX,"внедорожник 5 дв., бензин",$ 26 000,https://im.mashina.kg/tachka/images//0/f/f/0ff386faf8fdd8888783ed9e436d7d3e_240x180.jpg
Toyota Land Cruiser Prado,"внедорожник 5 дв., бензин",$ 84 000,https://im.mashina.kg/tachka/images//e/a/e/eaee171b8e74d14b48e107814bfd32df_240x180.jpg
Toyota Prius,"хэтчбек 5 дв., гибрид",$ 13 500,https://im.mashina.kg/tachka/images//f/4/e/f4ee82babd1bc638037d9d99349e8999_240x180.jpg
Toyota Avalon,"седан, гибрид",$ 24 000,https://im.mashina.kg/tachka/images//3/b/e/3be4552720a345402338a7ba7d1fc9ec_240x180.jpg
Toyota Camry,"седан, бензин",$ 42 000,https://im.mashina.kg/tachka/images//7/9/7/797bb971735bf04cf87167fdb7f21e10_240x180.jpg
Kia Sorento,"внедорожник 5 дв., дизель",$ 24 800,https://im.mashina.kg/tachka/images//e/f/3/ef3f145af18da46a34ba0ed7027bf607_240x180.jpg
Toyota Camry,"седан, бензин",$ 25 000,https://im.mashina.kg/tachka/images//c/a/d/cadb887b6d3db24bbc9fee8c9c992f02_240x180.jpg
Lexus ES,"седан, гибрид",$ 31 500,https://im.mashina.kg/tachka/images//4/0/d/40db90356ec8c6db5a797cdaed9a50bf_240x180.jpg
Volkswagen Vento,"седан, бензин",$ 2 893,https://im.mashina.kg/tachka/images//8/f/a/8fae1dd66243b2bd8076d16608657034_240x180.jpg
Toyota Camry,"седан, бензин",$ 26 500,https://im.mashina.kg/tachka/images//c/0/8/c08ed8cc3cf32229f4af5c0684b48cc9_240x180.jpg
Kia Sorento,"внедорожник 5 дв., дизель",$ 31 000,https://im.mashina.kg/tachka/images//c/2/7/c2740e13e34db1028022edffdf5de5a5_240x180.jpg
BMW X5,"внедорожник 5 дв., дизель",$ 9 600,https://im.mashina.kg/tachka/images//2/7/b/27bc9f13661bbcdc6e748ad0bb2c1637_240x180.jpg
Kia K7,"седан, бензин",$ 15 800,https://im.mashina.kg/tachka/images//e/1/0/e107c1deec8fc79f6258b191899ae602_240x180.jpg
Hyundai Santa Fe,"внедорожник 5 дв., дизель",$ 22 300,https://im.mashina.kg/tachka/images//d/d/5/dd5d4667308b1586769b49bbb0e63e2e_240x180.jpg
Mercedes-Benz E-класс,"седан, бензин",$ 9 500,https://im.mashina.kg/tachka/images//f/8/e/f8eaf1788b54972f341a8e666c9270ee_240x180.jpg
Hyundai Sonata,"седан, бензин",$ 13 000,https://im.mashina.kg/tachka/images//2/c/9/2c986f9d0d06e256770536b92a55268c_240x180.jpg
Hyundai Santa Fe,"внедорожник 5 дв., дизель",$ 37 000,https://im.mashina.kg/tachka/images//3/d/4/3d47662e756de698e65df053dff51162_240x180.jpg
Mercedes-Benz GLS-класс,"внедорожник 5 дв., бензин",$ 55 000,https://im.mashina.kg/tachka/images//e/9/8/e98bba2b26103d5ed6a3f5edbc61d07b_240x180.jpg
Toyota Highlander,"внедорожник 5 дв., бензин",$ 36 000,https://im.mashina.kg/tachka/images//1/1/c/11ca8f059c9b6fe4eb0386e9a42f5aab_240x180.jpg
Toyota RAV4,"внедорожник 5 дв., гибрид",$ 25 000,https://im.mashina.kg/tachka/images//c/2/1/c21f5ed6d10213d084d06b8576f81b4f_240x180.jpg
Lexus LX,"внедорожник 5 дв., бензин",$ 26 000,https://im.mashina.kg/tachka/images//0/f/f/0ff386faf8fdd8888783ed9e436d7d3e_240x180.jpg
Toyota Land Cruiser Prado,"внедорожник 5 дв., бензин",$ 84 000,https://im.mashina.kg/tachka/images//e/a/e/eaee171b8e74d14b48e107814bfd32df_240x180.jpg
Toyota Prius,"хэтчбек 5 дв., гибрид",$ 13 500,https://im.mashina.kg/tachka/images//f/4/e/f4ee82babd1bc638037d9d99349e8999_240x180.jpg
